type,entryAt,entryYmd,amount,categoryId,accountId,memberId,memo,fixedItemId,autoFlag,starFlag,jsonProps,uuid,bookId,sortKey,deleteFlag,syncAt,createdAt,createdBy,updatedAt,updatedBy
0,2018-05-19,20180519,60,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d84d6-6b49-11eb-bd10-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393382,0,,2021-02-09 03:46:31.361,,,
0,2018-05-18,20180518,28,c984ab85-ead0-433c-9c44-9ebd17d2c67a,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d84d7-6b49-11eb-8751-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393383,0,,2021-02-09 03:46:31.361,,,
0,2018-05-18,20180518,170,a2718638-c17e-4674-8f7e-42fda6a518ee,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d84d8-6b49-11eb-b4e0-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393384,0,,2021-02-09 03:46:31.361,,,
0,2018-05-18,20180518,80,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d84d9-6b49-11eb-988f-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393385,0,,2021-02-09 03:46:31.361,,,
0,2018-05-17,20180517,100,a2718638-c17e-4674-8f7e-42fda6a518ee,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d84da-6b49-11eb-aea8-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393386,0,,2021-02-09 03:46:31.361,,,
0,2018-05-15,20180515,80,c3f7f180-1405-4fd5-94bc-6c2256168e99,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,豆漿+蛋糕,,0,0,,499d84db-6b49-11eb-940c-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393387,0,,2021-02-09 03:46:31.361,,,
0,2018-05-16,20180516,150,c903d142-24ef-464d-a174-ce7c3fb0656e,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,健身房,,0,0,,499d84dc-6b49-11eb-a7e7-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393388,0,,2021-02-09 03:46:31.361,,,
0,2018-05-15,20180515,150,c903d142-24ef-464d-a174-ce7c3fb0656e,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,健身房,,0,0,,499d84dd-6b49-11eb-872b-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393389,0,,2021-02-09 03:46:31.361,,,
0,2018-05-14,20180514,50,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d84de-6b49-11eb-997d-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393390,0,,2021-02-09 03:46:31.361,,,
0,2018-05-17,20180517,55,df78da22-2e6c-4272-9204-24476d8613cd,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499dabe4-6b49-11eb-ac8b-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393391,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,200,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499dabe5-6b49-11eb-991d-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393392,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,275,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,搭伙,,0,0,,499dabe6-6b49-11eb-930b-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393393,0,,2021-02-09 03:46:31.361,,,
0,2018-05-13,20180513,410,aa40811f-c385-4a5c-8aed-04026e311e84,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,復仇者3 imax+3D,,0,0,,499dabe7-6b49-11eb-b185-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393394,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,160,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499dabe8-6b49-11eb-9b98-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393395,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,18,5a4bee63-06e6-46c4-a04a-6bebdedd9011,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,炸彈蔥油餅(一半),,0,0,,499dabe9-6b49-11eb-8235-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393396,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,20,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,冬瓜鮮奶霜(一半),,0,0,,499dabea-6b49-11eb-bcf7-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393397,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,50,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,滷肉飯+皮+魚丸湯(一半),,0,0,,499dabeb-6b49-11eb-937b-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393398,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,25,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,黃金泡芙(一半),,0,0,,499dabec-6b49-11eb-9777-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393399,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,25,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,阿柑姨芋圓(一半),,0,0,,499dd380-6b49-11eb-8734-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393400,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,27,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,臭豆腐(分一半(,,0,0,,499dd381-6b49-11eb-bf20-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393401,0,,2021-02-09 03:46:31.361,,,
0,2018-05-12,20180512,20,9b068190-874f-4e27-84f2-01218b94aa44,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,花生冰淇淋(只有一半),,0,0,,499dd382-6b49-11eb-b7a9-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393402,0,,2021-02-09 03:46:31.361,,,
0,2018-05-11,20180511,80,a2718638-c17e-4674-8f7e-42fda6a518ee,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499dd383-6b49-11eb-9882-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393403,0,,2021-02-09 03:46:31.361,,,
